Protein ID,Gene name,Protein name,Genename_ProteinID,Mol. weight [Da],Sequence coverage [%],Peptides per protein,Unique peptides per protein
Q9H0V1,TMEM168,Transmembrane protein 168,TMEM168__Q9H0V1,79754.0,9.6,6.0,6.0
Q9H0V9,LMAN2L,VIP36-like protein,LMAN2L__Q9H0V9,39710.0,42.0,13.0,13.0
Q9H0W5,CCDC8,Coiled-coil domain-containing protein 8,CCDC8__Q9H0W5,59374.0,25.1,10.0,10.0
Q9H0W8,SMG9,Protein SMG9,SMG9__Q9H0W8,57650.0,45.4,16.0,16.0
Q9H0W9,C11orf54,Ester hydrolase C11orf54,C11orf54__Q9H0W9,35117.0,53.0,13.0,
Q9H0W9-3,C11orf54,Ester hydrolase C11orf54,C11orf54__Q9H0W9-3,29491.0,52.8,11.0,1.0
Q9H0X4,ITFG3,Protein ITFG3,ITFG3__Q9H0X4,59659.0,30.4,12.0,12.0
Q9H0X9,OSBPL5,Oxysterol-binding protein-related protein 5,OSBPL5__Q9H0X9,98615.0,35.2,27.0,13.0
Q9H116,GZF1,GDNF-inducible zinc finger protein 1,GZF1__Q9H116,80491.0,10.3,6.0,6.0
Q9H147,DNTTIP1,Deoxynucleotidyltransferase terminal-interacting protein 1,DNTTIP1__Q9H147,37013.0,27.4,8.0,8.0
Q9H173,SIL1,Nucleotide exchange factor SIL1,SIL1__Q9H173,52084.0,40.8,16.0,16.0
Q9H190,SDCBP2,Syntenin-2,SDCBP2__Q9H190,31593.0,7.2,2.0,2.0
Q9H1A3-2,METTL9,Methyltransferase-like protein 9,METTL9__Q9H1A3-2,36437.0,28.4,8.0,1.0
Q9H1A4,ANAPC1,Anaphase-promoting complex subunit 1,ANAPC1__Q9H1A4,216500.0,19.9,31.0,31.0
Q9H1B5,XYLT2,Xylosyltransferase 2,XYLT2__Q9H1B5,96766.0,6.9,5.0,5.0
Q9H1B7,IRF2BPL,Interferon regulatory factor 2-binding protein-like,IRF2BPL__Q9H1B7,82658.0,34.4,22.0,19.0
Q9H1C3,GLT8D2,Glycosyltransferase 8 domain-containing protein 2,GLT8D2__Q9H1C3,40026.0,23.8,6.0,6.0
Q9H1C4,UNC93B1,Protein unc-93 homolog B1,UNC93B1__Q9H1C4,66630.0,12.4,6.0,6.0
Q9H1C7,CYSTM1,Cysteine-rich and transmembrane domain-containing protein 1,CYSTM1__Q9H1C7,10631.0,11.3,2.0,2.0
Q9H1D9,POLR3F,DNA-directed RNA polymerase III subunit RPC6,POLR3F__Q9H1D9,35684.0,22.8,6.0,6.0
Q9H1E3,NUCKS1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,NUCKS1__Q9H1E3,27296.0,46.5,9.0,9.0
Q9H1E5,TMX4,Thioredoxin-related transmembrane protein 4,TMX4__Q9H1E5,38952.0,50.1,12.0,12.0
Q9H1H9-3,KIF13A,Kinesin-like protein KIF13A,KIF13A__Q9H1H9-3,196070.0,21.3,33.0,26.0
Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2,ASCC2__Q9H1I8,86359.0,28.1,18.0,18.0
Q9H1J7,WNT5B,Protein Wnt-5b,WNT5B__Q9H1J7,40323.0,15.9,5.0,2.0
Q9H1K0,RBSN,Rabenosyn-5,RBSN__Q9H1K0,88869.0,21.6,15.0,15.0
Q9H1K1,ISCU,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",ISCU__Q9H1K1,17999.0,49.1,7.0,7.0
Q9H1K4,SLC25A18,Mitochondrial glutamate carrier 2,SLC25A18__Q9H1K4,33848.0,63.5,15.0,11.0
Q9H1N7,SLC35B3,Adenosine 3-phospho 5-phosphosulfate transporter 2,SLC35B3__Q9H1N7,44592.0,11.7,4.0,4.0
Q9H1P3-2,OSBPL2,Oxysterol-binding protein-related protein 2,OSBPL2__Q9H1P3-2,53970.0,34.0,12.0,11.0
Q9H1X3,DNAJC25,DnaJ homolog subfamily C member 25,DNAJC25__Q9H1X3,42403.0,25.3,8.0,5.0
Q9H1Y0,ATG5,Autophagy protein 5,ATG5__Q9H1Y0,32447.0,43.6,12.0,12.0
Q9H1Z4,WDR13,WD repeat-containing protein 13,WDR13__Q9H1Z4,53695.0,24.9,10.0,4.0
Q9H204,MED28,Mediator of RNA polymerase II transcription subunit 28,MED28__Q9H204,19520.0,44.4,7.0,7.0
Q9H221,ABCG8,ATP-binding cassette sub-family G member 8,ABCG8__Q9H221,75678.0,13.5,7.0,7.0
Q9H222,ABCG5,ATP-binding cassette sub-family G member 5,ABCG5__Q9H222,72503.0,10.6,6.0,6.0
Q9H223,EHD4,EH domain-containing protein 4,EHD4__Q9H223,61174.0,68.6,30.0,24.0
Q9H239,MMP28,Matrix metalloproteinase-28,MMP28__Q9H239,58938.0,24.4,10.0,10.0
Q9H246,C1orf21,Uncharacterized protein C1orf21,C1orf21__Q9H246,13865.0,25.6,3.0,3.0
Q9H257-2,CARD9,Caspase recruitment domain-containing protein 9,CARD9__Q9H257-2,56666.0,23.6,10.0,9.0
Q9H267,VPS33B,Vacuolar protein sorting-associated protein 33B,VPS33B__Q9H267,70584.0,50.9,28.0,28.0
Q9H269,VPS16,Vacuolar protein sorting-associated protein 16 homolog,VPS16__Q9H269,94693.0,46.6,27.0,27.0
Q9H270,VPS11,Vacuolar protein sorting-associated protein 11 homolog,VPS11__Q9H270,107840.0,43.1,34.0,1.0
Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3__Q9H299,10438.0,87.1,9.0,9.0
Q9H2A2,ALDH8A1,Aldehyde dehydrogenase family 8 member A1,ALDH8A1__Q9H2A2,53401.0,72.5,24.0,24.0
Q9H2A7,CXCL16,C-X-C motif chemokine 16,CXCL16__Q9H2A7,27578.0,15.0,2.0,2.0
Q9H2B4,SLC26A1,Sulfate anion transporter 1,SLC26A1__Q9H2B4,75015.0,20.1,8.0,8.0
Q9H2C0,GAN,Gigaxonin,GAN__Q9H2C0,67638.0,14.4,7.0,7.0
Q9H2D1,SLC25A32,Mitochondrial folate transporter/carrier,SLC25A32__Q9H2D1,35407.0,15.2,4.0,4.0
Q9H2D6-5,TRIOBP,TRIO and F-actin-binding protein,TRIOBP__Q9H2D6-5,68040.0,65.3,39.0,1.0
Q9H2F3,HSD3B7,3 beta-hydroxysteroid dehydrogenase type 7,HSD3B7__Q9H2F3,41016.0,42.0,12.0,12.0
Q9H2F5-2,EPC1,Enhancer of polycomb homolog 1,EPC1__Q9H2F5-2,90864.0,9.2,7.0,6.0
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,SLK__Q9H2G2,142690.0,53.2,56.0,2.0
Q9H2G2-2,SLK,STE20-like serine/threonine-protein kinase,SLK__Q9H2G2-2,138990.0,53.3,57.0,3.0
Q9H2G4,TSPYL2,Testis-specific Y-encoded-like protein 2,TSPYL2__Q9H2G4,79434.0,4.8,3.0,3.0
Q9H2G9,BLZF1,Golgin-45,BLZF1__Q9H2G9,44910.0,38.8,12.0,12.0
Q9H2H8,PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3,PPIL3__Q9H2H8,18154.0,49.1,9.0,9.0
Q9H2J4,PDCL3,Phosducin-like protein 3,PDCL3__Q9H2J4,27614.0,45.6,9.0,9.0
Q9H2J7,SLC6A15,Sodium-dependent neutral amino acid transporter B(0)AT2,SLC6A15__Q9H2J7,81835.0,13.4,9.0,9.0
Q9H2K0,MTIF3,"Translation initiation factor IF-3, mitochondrial",MTIF3__Q9H2K0,31725.0,22.3,5.0,5.0
Q9H2K8,TAOK3,Serine/threonine-protein kinase TAO3,TAOK3__Q9H2K8,105400.0,37.5,29.0,23.0
Q9H2L5,RASSF4,Ras association domain-containing protein 4,RASSF4__Q9H2L5,36748.0,30.2,7.0,5.0
Q9H2M3,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,BHMT2__Q9H2M3,40354.0,80.2,21.0,16.0
Q9H2M9,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit,RAB3GAP2__Q9H2M9,155980.0,34.2,39.0,39.0
Q9H2P0,ADNP,Activity-dependent neuroprotector homeobox protein,ADNP__Q9H2P0,123560.0,42.4,37.0,37.0
Q9H2P9,DPH5,Diphthine synthase,DPH5__Q9H2P9,31651.0,49.5,10.0,10.0
Q9H2U1,DHX36,ATP-dependent RNA helicase DHX36,DHX36__Q9H2U1,114760.0,47.0,38.0,37.0
Q9H2U2,PPA2,"Inorganic pyrophosphatase 2, mitochondrial",PPA2__Q9H2U2,37920.0,60.2,20.0,18.0
Q9H2V7-3,SPNS1,Protein spinster homolog 1,SPNS1__Q9H2V7-3,49012.0,28.9,7.0,7.0
Q9H2W1,MS4A6A,Membrane-spanning 4-domains subfamily A member 6A,MS4A6A__Q9H2W1,26943.0,26.2,4.0,4.0
Q9H2W6,MRPL46,"39S ribosomal protein L46, mitochondrial",MRPL46__Q9H2W6,31705.0,49.8,12.0,12.0
Q9H2X3-8,CLEC4M,C-type lectin domain family 4 member M,CLEC4M__Q9H2X3-8,42724.0,57.2,13.0,9.0
Q9H2Y7,ZNF106,Zinc finger protein 106,ZNF106__Q9H2Y7,208880.0,7.1,9.0,9.0
Q9H305-3,CDIP1,Cell death-inducing p53-target protein 1,CDIP1__Q9H305-3,13763.0,23.3,2.0,2.0
Q9H307,PNN,Pinin,PNN__Q9H307,81613.0,44.4,34.0,34.0
Q9H329,EPB41L4B,Band 4.1-like protein 4B,EPB41L4B__Q9H329,99711.0,12.8,11.0,9.0
Q9H330-2,TMEM245,Transmembrane protein 245,TMEM245__Q9H330-2,97356.0,18.3,12.0,12.0
Q9H3E2,SNX25,Sorting nexin-25,SNX25__Q9H3E2,97944.0,24.9,18.0,18.0
Q9H3F6,KCTD10,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,KCTD10__Q9H3F6,35432.0,22.0,8.0,1.0
Q9H3G5,CPVL,Probable serine carboxypeptidase CPVL,CPVL__Q9H3G5,54163.0,38.4,16.0,16.0
Q9H3H1-5,TRIT1,"tRNA dimethylallyltransferase, mitochondrial",TRIT1__Q9H3H1-5,43305.0,8.6,3.0,1.0
Q9H3H3,C11orf68,UPF0696 protein C11orf68,C11orf68__Q9H3H3,27354.0,48.2,11.0,11.0
Q9H3K2,GHITM,Growth hormone-inducible transmembrane protein,GHITM__Q9H3K2,37205.0,24.1,8.0,8.0
Q9H3K6,BOLA2,BolA-like protein 2,BOLA2__Q9H3K6,10116.0,61.6,4.0,3.0
Q9H3M7,TXNIP,Thioredoxin-interacting protein,TXNIP__Q9H3M7,43661.0,37.3,9.0,9.0
Q9H3N1,TMX1,Thioredoxin-related transmembrane protein 1,TMX1__Q9H3N1,31791.0,36.4,10.0,10.0
Q9H3P7,ACBD3,Golgi resident protein GCP60,ACBD3__Q9H3P7,60593.0,53.2,20.0,20.0
Q9H3Q1,CDC42EP4,Cdc42 effector protein 4,CDC42EP4__Q9H3Q1,37979.0,62.4,12.0,12.0
Q9H3R2,MUC13,Mucin-13,MUC13__Q9H3R2,54603.0,9.0,3.0,3.0
Q9H3S7,PTPN23,Tyrosine-protein phosphatase non-receptor type 23,PTPN23__Q9H3S7,178970.0,38.6,52.0,51.0
Q9H3T3,SEMA6B,Semaphorin-6B,SEMA6B__Q9H3T3,95283.0,20.4,12.0,12.0
Q9H3U1,UNC45A,Protein unc-45 homolog A,UNC45A__Q9H3U1,103080.0,55.8,43.0,2.0
Q9H3U1-2,UNC45A,Protein unc-45 homolog A,UNC45A__Q9H3U1-2,101670.0,55.2,43.0,2.0
Q9H3U5,MFSD1,Major facilitator superfamily domain-containing protein 1,MFSD1__Q9H3U5,51208.0,12.3,5.0,5.0
Q9H3U7,SMOC2,SPARC-related modular calcium-binding protein 2,SMOC2__Q9H3U7,49674.0,33.2,12.0,12.0
X6R7I6,PPDPF,Pancreatic progenitor cell differentiation and proliferation factor,PPDPF__X6R7I6,14702.0,12.1,1.0,1.0
Q9H3Z4,DNAJC5,DnaJ homolog subfamily C member 5,DNAJC5__Q9H3Z4,22149.0,55.1,6.0,6.0
Q9H400,LIME1,Lck-interacting transmembrane adapter 1,LIME1__Q9H400,31288.0,39.3,9.0,6.0
Q9H410-4,DSN1,Kinetochore-associated protein DSN1 homolog,DSN1__Q9H410-4,38323.0,53.2,13.0,13.0
Q9H425,C1orf198,Uncharacterized protein C1orf198,C1orf198__Q9H425,36346.0,65.7,22.0,22.0
Q9H444,CHMP4B,Charged multivesicular body protein 4b,CHMP4B__Q9H444,24950.0,79.0,16.0,13.0
Q9H446,RWDD1,RWD domain-containing protein 1,RWDD1__Q9H446,27939.0,18.9,4.0,4.0
Q9H467,CUEDC2,CUE domain-containing protein 2,CUEDC2__Q9H467,32009.0,17.1,4.0,4.0
Q9H477,RBKS,Ribokinase,RBKS__Q9H477,34143.0,28.0,8.0,8.0
Q9H479,FN3K,Fructosamine-3-kinase,FN3K__Q9H479,35171.0,40.8,13.0,13.0
Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1,POFUT1__Q9H488,43955.0,53.4,15.0,15.0
Q9H490-2,PIGU,Phosphatidylinositol glycan anchor biosynthesis class U protein,PIGU__Q9H490-2,47610.0,14.9,6.0,6.0
Q9H492,MAP1LC3A,Microtubule-associated proteins 1A/1B light chain 3A,MAP1LC3A__Q9H492,14272.0,17.4,2.0,1.0
Q9H496,TOR1AIP2,"Torsin-1A-interacting protein 2, isoform IFRG15",TOR1AIP2__Q9H496,15347.0,20.6,2.0,2.0
Q9H497,TOR3A,Torsin-3A,TOR3A__Q9H497,46198.0,30.0,11.0,11.0
Q9H4A4,RNPEP,Aminopeptidase B,RNPEP__Q9H4A4,72595.0,61.4,31.0,31.0
Q9H4A5,GOLPH3L,Golgi phosphoprotein 3-like,GOLPH3L__Q9H4A5,32767.0,30.5,7.0,6.0
Q9H4A6,GOLPH3,Golgi phosphoprotein 3,GOLPH3__Q9H4A6,33810.0,52.7,12.0,11.0
Q9H4B0,OSGEPL1,"Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",OSGEPL1__Q9H4B0,45122.0,16.2,5.0,5.0
Q9H4B7,TUBB1,Tubulin beta-1 chain,TUBB1__Q9H4B7,50326.0,51.9,18.0,10.0
Q9H4E5-2,RHOJ,Rho-related GTP-binding protein RhoJ,RHOJ__Q9H4E5-2,21254.0,17.7,3.0,2.0
Q9H4E7,DEF6,Differentially expressed in FDCP 6 homolog,DEF6__Q9H4E7,73910.0,29.3,18.0,18.0
Q9H4F8,SMOC1,SPARC-related modular calcium-binding protein 1,SMOC1__Q9H4F8,48162.0,22.8,9.0,9.0
Q9H4G0-2,EPB41L1,Band 4.1-like protein 1,EPB41L1__Q9H4G0-2,87644.0,52.5,34.0,1.0
Q9H4G4,GLIPR2,Golgi-associated plant pathogenesis-related protein 1,GLIPR2__Q9H4G4,17218.0,65.6,7.0,7.0
Q9H4I2,ZHX3,Zinc fingers and homeoboxes protein 3,ZHX3__Q9H4I2,104660.0,21.5,13.0,12.0
Q9H4K7,MTG2,Mitochondrial ribosome-associated GTPase 2,MTG2__Q9H4K7,43955.0,24.1,8.0,8.0
Q9H4L4,SENP3,Sentrin-specific protease 3,SENP3__Q9H4L4,65009.0,21.8,10.0,10.0
Q9H4L5,OSBPL3,Oxysterol-binding protein-related protein 3,OSBPL3__Q9H4L5,101220.0,42.7,29.0,1.0
Q9H4L7,SMARCAD1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1,SMARCAD1__Q9H4L7,117400.0,11.7,9.0,9.0
Q9H4M7,PLEKHA4,Pleckstrin homology domain-containing family A member 4,PLEKHA4__Q9H4M7,85400.0,14.1,9.0,9.0
Q9H4P4-2,RNF41,E3 ubiquitin-protein ligase NRDP1,RNF41__Q9H4P4-2,27965.0,8.9,1.0,1.0
Q9H4W6-2,EBF3,Transcription factor COE3,EBF3__Q9H4W6-2,60414.0,11.3,6.0,1.0
Q9H4Z3,PCIF1,Phosphorylated CTD-interacting factor 1,PCIF1__Q9H4Z3,80669.0,23.6,13.0,13.0
Q9H501,ESF1,ESF1 homolog,ESF1__Q9H501,98795.0,27.1,21.0,21.0
Q9H553,ALG2,"Alpha-1,3/1,6-mannosyltransferase ALG2",ALG2__Q9H553,47091.0,46.2,16.0,16.0
Q9H583,HEATR1,HEAT repeat-containing protein 1,HEATR1__Q9H583,242370.0,46.1,77.0,77.0
Q9H5I1,SUV39H2,Histone-lysine N-methyltransferase SUV39H2,SUV39H2__Q9H5I1,46682.0,5.4,2.0,1.0
Q9H5K3,POMK,Protein O-mannose kinase,POMK__Q9H5K3,40050.0,33.1,8.0,8.0
Q9H5N1,RABEP2,Rab GTPase-binding effector protein 2,RABEP2__Q9H5N1,63542.0,49.4,27.0,27.0
Q9H5Q4,TFB2M,"Dimethyladenosine transferase 2, mitochondrial",TFB2M__Q9H5Q4,45348.0,39.4,16.0,16.0
Q9H5V8,CDCP1,CUB domain-containing protein 1,CDCP1__Q9H5V8,92931.0,36.0,24.0,24.0
Q9H5V9-2,CXorf56,UPF0428 protein CXorf56,CXorf56__Q9H5V9-2,19981.0,32.4,6.0,6.0
Q9H5X1,FAM96A,MIP18 family protein FAM96A,FAM96A__Q9H5X1,18355.0,32.5,4.0,4.0
Q9H694,BICC1,Protein bicaudal C homolog 1,BICC1__Q9H694,104840.0,34.4,25.0,25.0
Q9H6A0,DENND2D,DENN domain-containing protein 2D,DENND2D__Q9H6A0,53671.0,16.1,7.0,7.0
Q9H6A9,PCNXL3,Pecanex-like protein 3,PCNXL3__Q9H6A9,222040.0,5.9,8.0,8.0
Q9H6B4,CLMP,CXADR-like membrane protein,CLMP__Q9H6B4,41280.0,37.5,11.0,11.0
Q9H6D3,XKR8,XK-related protein 8,XKR8__Q9H6D3,44654.0,3.5,1.0,1.0
Q9H6E4,CCDC134,Coiled-coil domain-containing protein 134,CCDC134__Q9H6E4,26560.0,39.3,7.0,7.0
Q9H6F5,CCDC86,Coiled-coil domain-containing protein 86,CCDC86__Q9H6F5,40235.0,50.0,17.0,17.0
Q9H6I2,SOX17,Transcription factor SOX-17,SOX17__Q9H6I2,44116.0,26.3,7.0,6.0
Q9H6K1,C6orf106,Uncharacterized protein C6orf106,C6orf106__Q9H6K1,32871.0,37.9,8.0,8.0
Q9H6K4,OPA3,Optic atrophy 3 protein,OPA3__Q9H6K4,19996.0,43.6,7.0,7.0
Q9H6L2,TMEM231,Transmembrane protein 231,TMEM231__Q9H6L2,36058.0,13.6,4.0,4.0
Q9H6Q4,NARFL,Cytosolic Fe-S cluster assembly factor NARFL,NARFL__Q9H6Q4,53020.0,37.8,14.0,12.0
Q9H6R0,DHX33,Putative ATP-dependent RNA helicase DHX33,DHX33__Q9H6R0,78873.0,25.9,15.0,15.0
Q9H6R4-4,NOL6,Nucleolar protein 6,NOL6__Q9H6R4-4,127320.0,33.5,31.0,31.0
Q9H6R6-2,ZDHHC6,Palmitoyltransferase ZDHHC6,ZDHHC6__Q9H6R6-2,47205.0,9.3,3.0,3.0
Q9H6R7,C2orf44,WD repeat and coiled-coil-containing protein C2orf44,C2orf44__Q9H6R7,79135.0,10.4,6.0,6.0
Q9H6S0,YTHDC2,Probable ATP-dependent RNA helicase YTHDC2,YTHDC2__Q9H6S0,160250.0,34.8,41.0,41.0
Q9H6S1,AZI2,5-azacytidine-induced protein 2,AZI2__Q9H6S1,44934.0,26.0,9.0,9.0
Q9H6S3,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,EPS8L2__Q9H6S3,80620.0,58.7,33.0,33.0
Q9H6T0-2,ESRP2,Epithelial splicing regulatory protein 2,ESRP2__Q9H6T0-2,77363.0,23.3,14.0,13.0
Q9H6T3,RPAP3,RNA polymerase II-associated protein 3,RPAP3__Q9H6T3,75718.0,48.0,28.0,28.0
Q9H6U6-3,BCAS3,Breast carcinoma-amplified sequence 3,BCAS3__Q9H6U6-3,102110.0,30.5,20.0,1.0
Q9H6W3,NO66,Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66,NO66__Q9H6W3,71085.0,33.9,16.0,16.0
Q9H6X2-5,ANTXR1,Anthrax toxin receptor 1,ANTXR1__Q9H6X2-5,59204.0,28.6,14.0,3.0
Q9H6Y2,WDR55,WD repeat-containing protein 55,WDR55__Q9H6Y2,42070.0,34.2,11.0,11.0
Q9H6Y5,MAGIX,PDZ domain-containing protein MAGIX,MAGIX__Q9H6Y5,35216.0,23.7,7.0,7.0
Q9H6Z4,RANBP3,Ran-binding protein 3,RANBP3__Q9H6Z4,60209.0,41.8,19.0,1.0
Q9H6Z4-2,RANBP3,Ran-binding protein 3,RANBP3__Q9H6Z4-2,59694.0,41.3,19.0,1.0
Q9H765,ASB8,Ankyrin repeat and SOCS box protein 8,ASB8__Q9H765,31642.0,11.1,3.0,3.0
Q9H772,GREM2,Gremlin-2,GREM2__Q9H772,19320.0,16.7,2.0,1.0
Q9H773,DCTPP1,dCTP pyrophosphatase 1,DCTPP1__Q9H773,18681.0,69.4,9.0,9.0
Q9H788-2,SH2D4A,SH2 domain-containing protein 4A,SH2D4A__Q9H788-2,46978.0,49.1,20.0,20.0
Q9H792,PEAK1,Pseudopodium-enriched atypical kinase 1,PEAK1__Q9H792,193100.0,40.4,55.0,55.0
Q9H7B2,RPF2,Ribosome production factor 2 homolog,RPF2__Q9H7B2,35582.0,44.8,12.0,12.0
Q9H7B4,SMYD3,Histone-lysine N-methyltransferase SMYD3,SMYD3__Q9H7B4,49097.0,23.6,8.0,8.0
Q9H7C4-2,SYNC,Syncoilin,SYNC__Q9H7C4-2,54946.0,50.4,22.0,22.0
Q9H7D0,DOCK5,Dedicator of cytokinesis protein 5,DOCK5__Q9H7D0,215310.0,25.1,41.0,40.0
Q9H7D7-2,WDR26,WD repeat-containing protein 26,WDR26__Q9H7D7-2,70459.0,45.6,23.0,23.0
Q9H7E2-3,TDRD3,Tudor domain-containing protein 3,TDRD3__Q9H7E2-3,83102.0,27.2,16.0,16.0
Q9H7E9,C8orf33,UPF0488 protein C8orf33,C8orf33__Q9H7E9,24992.0,40.2,6.0,6.0
Q9H7F0,ATP13A3,Probable cation-transporting ATPase 13A3,ATP13A3__Q9H7F0,138040.0,29.2,27.0,27.0
Q9H7F4,TMEM185B,Transmembrane protein 185B,TMEM185B__Q9H7F4,40599.0,15.7,4.0,4.0
Q9H7H0-2,METTL17,"Methyltransferase-like protein 17, mitochondrial",METTL17__Q9H7H0-2,49600.0,13.4,5.0,5.0
Q9H7L9,SUDS3,Sin3 histone deacetylase corepressor complex component SDS3,SUDS3__Q9H7L9,38136.0,25.9,8.0,8.0
Q9H7M9,C10orf54,Platelet receptor Gi24,C10orf54__Q9H7M9,33908.0,20.9,5.0,5.0
Q9H7N4,SCAF1,"Splicing factor, arginine/serine-rich 19",SCAF1__Q9H7N4,139270.0,13.9,15.0,14.0
Q9H7X7,IFT22,Intraflagellar transport protein 22 homolog,IFT22__Q9H7X7,20835.0,39.5,5.0,5.0
Q9H7Y0,CXorf36,Deleted in autism-related protein 1,CXorf36__Q9H7Y0,48554.0,5.5,2.0,2.0
Q9H7Z3,NRDE2,Protein NRDE2 homolog,NRDE2__Q9H7Z3,132670.0,12.1,11.0,11.0
Q9H7Z6,KAT8,Histone acetyltransferase KAT8,KAT8__Q9H7Z6,52402.0,29.3,12.0,11.0
Q9H7Z7,PTGES2,Prostaglandin E synthase 2,PTGES2__Q9H7Z7,41943.0,54.6,17.0,17.0
Q9H813,TMEM206,Transmembrane protein 206,TMEM206__Q9H813,40043.0,10.6,3.0,3.0
Q9H814,PHAX,Phosphorylated adapter RNA export protein,PHAX__Q9H814,44402.0,36.5,12.0,12.0
Q9H832,UBE2Z,Ubiquitin-conjugating enzyme E2 Z,UBE2Z__Q9H832,38210.0,43.2,14.0,14.0
Q9H840,GEMIN7,Gem-associated protein 7,GEMIN7__Q9H840,14536.0,20.6,2.0,2.0
Q9H841-2,Q9H841-2,,Q9H841-2__Q9H841-2,42155.0,9.7,2.0,2.0
Q9H845,ACAD9,"Acyl-CoA dehydrogenase family member 9, mitochondrial",ACAD9__Q9H845,68760.0,61.4,30.0,30.0
Q9H857-2,NT5DC2,5-nucleotidase domain-containing protein 2,NT5DC2__Q9H857-2,64144.0,46.3,21.0,21.0
Q9H871,RMND5A,Protein RMD5 homolog A,RMND5A__Q9H871,43992.0,29.7,10.0,9.0
Q9H875-2,PRKRIP1,PRKR-interacting protein 1,PRKRIP1__Q9H875-2,17806.0,17.2,2.0,2.0
Q9H8G2,CAAP1,Caspase activity and apoptosis inhibitor 1,CAAP1__Q9H8G2,38367.0,32.1,8.0,8.0
Q9H8H0,NOL11,Nucleolar protein 11,NOL11__Q9H8H0,81123.0,51.5,28.0,28.0
Q9H8H3,METTL7A,Methyltransferase-like protein 7A,METTL7A__Q9H8H3,28319.0,43.9,11.0,11.0
Q9H8J5-2,MANSC1,MANSC domain-containing protein 1,MANSC1__Q9H8J5-2,43062.0,10.3,4.0,4.0
Q9H8K7,C10orf88,Uncharacterized protein C10orf88,C10orf88__Q9H8K7,49248.0,6.7,2.0,2.0
Q9H8L6,MMRN2,Multimerin-2,MMRN2__Q9H8L6,104410.0,31.1,23.0,23.0
Q9H8M2,BRD9,Bromodomain-containing protein 9,BRD9__Q9H8M2,66999.0,17.6,7.0,7.0
Q9H8M7,FAM188A,Protein FAM188A,FAM188A__Q9H8M7,49724.0,20.2,6.0,6.0
Q9H8P0,SRD5A3,Polyprenol reductase,SRD5A3__Q9H8P0,36521.0,8.2,3.0,3.0
Q9H8S9,MOB1A,MOB kinase activator 1A,MOB1A__Q9H8S9,25079.0,34.7,5.0,1.0
Q9H8T0,AKTIP,AKT-interacting protein,AKTIP__Q9H8T0,33128.0,37.0,7.0,7.0
Q9H8V3-4,ECT2,Protein ECT2,ECT2__Q9H8V3-4,100050.0,13.3,8.0,8.0
Q9H8W4,PLEKHF2,Pleckstrin homology domain-containing family F member 2,PLEKHF2__Q9H8W4,27797.0,21.7,5.0,5.0
Q9H8Y5,ANKZF1,Ankyrin repeat and zinc finger domain-containing protein 1,ANKZF1__Q9H8Y5,80926.0,23.7,13.0,13.0
Q9H8Y8,GORASP2,Golgi reassembly-stacking protein 2,GORASP2__Q9H8Y8,47145.0,37.6,12.0,12.0
Q9H900,ZWILCH,Protein zwilch homolog,ZWILCH__Q9H900,67213.0,14.4,7.0,7.0
Q9H910,HN1L,Hematological and neurological expressed 1-like protein,HN1L__Q9H910,20063.0,70.5,10.0,10.0
Q9H920,RNF121,RING finger protein 121,RNF121__Q9H920,37882.0,14.1,3.0,3.0
U5Y3L1,SP140L,Nuclear body protein SP140-like protein,SP140L__U5Y3L1,64378.0,31.9,17.0,9.0
Q9H936,SLC25A22,Mitochondrial glutamate carrier 1,SLC25A22__Q9H936,34470.0,52.3,14.0,10.0
Q9H939,PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,PSTPIP2__Q9H939,38858.0,35.3,14.0,14.0
Q9H944,MED20,Mediator of RNA polymerase II transcription subunit 20,MED20__Q9H944,23222.0,34.0,5.0,5.0
Q9H974-2,QTRTD1,Queuine tRNA-ribosyltransferase subunit QTRTD1,QTRTD1__Q9H974-2,33471.0,42.1,9.0,9.0
Q9H981,ACTR8,Actin-related protein 8,ACTR8__Q9H981,70483.0,24.5,12.0,12.0
Q9H987-2,SYNPO2L,Synaptopodin 2-like protein,SYNPO2L__Q9H987-2,79145.0,36.5,19.0,18.0
Q9H993,ARMT1,Protein-glutamate O-methyltransferase,ARMT1__Q9H993,51172.0,22.4,10.0,10.0
Q9H999,PANK3,Pantothenate kinase 3,PANK3__Q9H999,41094.0,14.6,4.0,1.0
