Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
SMPD4,"FLJ20297, FLJ20756, KIAA1418, NET13, nSMase-3, NSMASE3",ENSG00000136699,Sphingomyelin phosphodiesterase 4,2,130151392-130182750,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA046279, HPA049426",Approved,,Approved,Nuclear membrane<br>Cytosol,"Renal cancer:8.16e-8 (unfavourable), Liver cancer:8.37e-6 (unfavourable), Endometrial cancer:7.47e-5 (unfavourable), Prostate cancer:1.73e-4 (unfavourable)",Expressed in all,Expressed in all,,,testis: 36.0,Expressed in all,,
SMS,"MRSR, SPMSY, SpS, SRS",ENSG00000102172,Spermine synthase,X,21940573-21994835,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA029849, HPA029852",Approved,,Approved,Nuclear bodies<br>Cytosol,"Liver cancer:7.79e-8 (unfavourable), Renal cancer:7.85e-5 (unfavourable), Head and neck cancer:7.49e-4 (unfavourable)",Expressed in all,Expressed in all,,,prostate: 202.4,Expressed in all,,
SMURF1,KIAA1625,ENSG00000198742,SMAD specific E3 ubiquitin protein ligase 1,7,99027438-99144100,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA055245,Approved,,,,,Expressed in all,Expressed in all,,,testis: 22.9,Expressed in all,,
SMURF2,,ENSG00000108854,SMAD specific E3 ubiquitin protein ligase 2,17,64542295-64662068,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA071508,Enhanced,,Supported,Nuclear speckles,,Expressed in all,Mixed,,,testis: 32.9,Expressed in all,,
SMYD1,"BOP, KMT3D, ZMYND22",ENSG00000115593,SET and MYND domain containing 1,2,88067780-88113387,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA062282,Enhanced,,,,,Tissue enhanced,Group enriched,9,heart muscle: 107.0;skeletal muscle: 170.8;smooth muscle: 38.5,parathyroid gland: 11.6,Not detected,,
SMYD2,"HSKM-B, KMT3C, ZMYND14",ENSG00000143499,SET and MYND domain containing 2,1,214281102-214337131,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA029023,Uncertain,,Approved,Intermediate filaments<br>Mitochondria<br>Cytosol,"Cervical cancer:1.53e-5 (unfavourable), Renal cancer:8.68e-4 (favourable)",Expressed in all,Expressed in all,,,heart muscle: 153.5,Expressed in all,,
SMYD3,"KMT3E, ZMYND1, ZNFN3A1",ENSG00000185420,SET and MYND domain containing 3,1,245749342-246507312,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB012229, HPA045821, HPA054352",Approved,,Approved,Nucleoplasm<br>Cytosol,,Expressed in all,Expressed in all,,,"epididymis,thyroid gland: 27.0",Expressed in all,,
SNRK,"FLJ20224, HSNFRK, KIAA0096",ENSG00000163788,SNF related kinase,3,43286512-43424764,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA042163,Uncertain,,Approved,Nucleus<br>Vesicles<br>Plasma membrane<br>Cell Junctions,"Renal cancer:9.41e-5 (favourable), Breast cancer:9.28e-4 (favourable)",Expressed in all,Expressed in all,,,placenta: 47.8,Expressed in all,,
SNRNP200,"ASCC3L1, BRR2, HELIC2, KIAA0788, RP33, U5-200KD",ENSG00000144028,Small nuclear ribonucleoprotein U5 subunit 200,2,96274336-96305515,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA029321,Approved,,Supported,Nucleoplasm,Endometrial cancer:3.89e-4 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 116.4,Expressed in all,,
SOAT1,"ACAT, SOAT, STAT",ENSG00000057252,Sterol O-acyltransferase 1,1,179293714-179358680,"Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,"CAB009533, HPA047171",Enhanced,,Enhanced,Endoplasmic reticulum,,Expressed in all,Tissue enhanced,,adrenal gland: 218.2,prostate: 45.1,Expressed in all,,
SOAT2,ACAT2,ENSG00000167780,Sterol O-acyltransferase 2,12,53103518-53124538,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,,Group enriched,Group enriched,5,duodenum: 12.1;small intestine: 22.0,spleen: 3.2,Cell line enhanced,,CACO-2: 8.8;Hep G2: 15.8;U-266/70: 5.6
SOD1,"ALS, ALS1, IPOA",ENSG00000142168,Superoxide dismutase 1,21,31659622-31668931,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA001401, CAB008670",Enhanced,,Supported,Nucleus<br>Plasma membrane<br>Cytosol,,Expressed in all,Expressed in all,,,liver: 768.9,Expressed in all,,
SOD2,,ENSG00000112096,Superoxide dismutase 2,6,159669057-159762529,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA001814, CAB002013",Supported,,,,Renal cancer:1.72e-4 (unfavourable),Expressed in all,Expressed in all,,,appendix: 734.4,Expressed in all,,
SOD3,EC-SOD,ENSG00000109610,Superoxide dismutase 3,4,24789912-24800842,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA042110,Supported,,,,,Expressed in all,Tissue enhanced,,adipose tissue: 179.2,fallopian tube: 66.5,Cell line enhanced,,ASC diff: 41.5;PC-3: 46.6;RPTEC TERT1: 158.1
SORD,,ENSG00000140263,Sorbitol dehydrogenase,15,45023104-45077185,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA040260, HPA040621",Enhanced,,Approved,Cytosol,Liver cancer:6.14e-5 (favourable),Expressed in all,Expressed in all,,,"cervix, uterine: 404.7",Mixed,,
SPACA5,"dJ54B20.3, LYC5, LYZL5, PNPK6288, SLLP2, UNQ6288",ENSG00000171489,Sperm acrosome associated 5,X,48004336-48009729,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA044747, HPA047149",Supported,,,,,Not detected,Tissue enriched,10,testis: 13.6,thyroid gland: 1.4,Not detected,,
SPACA5B,LYZL5B,ENSG00000171478,Sperm acrosome associated 5B,X,48130657-48132613,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA044747, HPA047149",Supported,,,,,Not detected,Tissue enriched,149,testis: 16.5,fallopian tube: 0.1,Not detected,,
SPAM1,"HYAL5, PH-20, SPAG15",ENSG00000106304,Sperm adhesion molecule 1,7,123925237-123971414,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA017984,Enhanced,,,,,Not detected,Tissue enriched,66,testis: 30.2,"duodenum,small intestine: 0.4",Not detected,,
SPAST,"ADPSP, FSP2, KIAA1083, SPG4",ENSG00000021574,Spastin,2,32063611-32157637,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA017311,Approved,,Approved,Nucleoplasm<br>Cytosol,"Liver cancer:1.62e-4 (unfavourable), Renal cancer:4.15e-4 (unfavourable)",Expressed in all,Mixed,,,cerebral cortex: 20.0,Expressed in all,,
SPEG,"APEG1, BPEG, KIAA1297, MGC12676, SPEGalpha, SPEGbeta",ENSG00000072195,SPEG complex locus,2,219434846-219498287,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA018904,Enhanced,,Approved,Vesicles,,Mixed,Mixed,,,skeletal muscle: 43.2,Cell line enhanced,,U-2 OS: 22.8;U-87 MG: 23.6
SPG7,"CAR, CMAR, SPG5C",ENSG00000197912,"SPG7, paraplegin matrix AAA peptidase subunit",16,89490917-89557768,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,"Endometrial cancer:2.22e-4 (favourable), Urothelial cancer:4.25e-4 (favourable), Pancreatic cancer:4.91e-4 (favourable)",Expressed in all,Expressed in all,,,thyroid gland: 52.2,Expressed in all,,
SPHK1,SPHK,ENSG00000176170,Sphingosine kinase 1,17,76376584-76387860,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA022829, HPA028761",Uncertain,,Supported,Plasma membrane<br>Cytosol,Renal cancer:5.14e-6 (unfavourable),Expressed in all,Mixed,,,gallbladder: 19.0,Mixed,,
SPHK2,,ENSG00000063176,Sphingosine kinase 2,19,48619291-48630717,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA065508,,,Supported,Vesicles,"Renal cancer:2.59e-5 (favourable), Endometrial cancer:5.19e-4 (unfavourable), Pancreatic cancer:9.30e-4 (favourable)",Expressed in all,Mixed,,,duodenum: 22.1,Expressed in all,,
SPO11,"CT35, SPATA43, TOPVIA",ENSG00000054796,"SPO11, initiator of meiotic double stranded breaks",20,57329759-57343994,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at transcript level,,,,,,,Not detected,Tissue enriched,154,testis: 15.3,all non-specific tissues: 0.0,Not detected,,
SPPL2A,"IMP3, PSL2",ENSG00000138600,Signal peptide peptidase like 2A,15,50702266-50765808,"Enzymes, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA036062, HPA067304",Enhanced,,Supported,Vesicles,,Expressed in all,Expressed in all,,,parathyroid gland: 291.5,Expressed in all,,
SPPL2B,"IMP4, KIAA1532, PSL1",ENSG00000005206,Signal peptide peptidase like 2B,19,2328615-2354806,"Enzymes, Predicted membrane proteins",Evidence at protein level,"CAB005592, HPA039292",Approved,,Approved,Nucleoplasm<br>Plasma membrane<br>Centrosome,"Endometrial cancer:5.00e-5 (favourable), Pancreatic cancer:1.33e-4 (favourable), Renal cancer:6.45e-4 (unfavourable)",Expressed in all,Expressed in all,,,testis: 49.1,Expressed in all,,
SPPL2C,IMP5,ENSG00000185294,Signal peptide peptidase like 2C,17,45844835-45847072,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,,Not detected,Tissue enriched,21,testis: 2.1,all non-specific tissues: 0.0,Not detected,,
SPPL3,"DKFZP586C1324, IMP2, MGC126674, MGC126676, MGC90402, PSL4",ENSG00000157837,Signal peptide peptidase like 3,12,120762510-120904371,"Enzymes, Predicted membrane proteins",Evidence at protein level,"HPA004194, HPA059958",Uncertain,,Supported,Vesicles<br>Plasma membrane,Liver cancer:1.29e-5 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 84.1,Mixed,,
SPR,SDR38C1,ENSG00000116096,"Sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)",2,72887360-72892158,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA039505,Uncertain,,Supported,Nucleoplasm<br>Cytosol,,Expressed in all,Mixed,,,parathyroid gland: 49.9,Mixed,,
SPTLC1,"hLCB1, HSAN1, HSN1, LCB1, SPTI",ENSG00000090054,Serine palmitoyltransferase long chain base subunit 1,9,92031999-92115384,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,"HPA010860, CAB018747, HPA063907",Supported,,Supported,Endoplasmic reticulum,Renal cancer:1.36e-6 (favourable),Expressed in all,Expressed in all,,,thyroid gland: 108.3,Expressed in all,,
SPTLC2,"hLCB2a, KIAA0526, LCB2, LCB2A",ENSG00000100596,Serine palmitoyltransferase long chain base subunit 2,14,77505997-77616773,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,HPA027552,,,Approved,Mitochondria,"Renal cancer:6.69e-8 (favourable), Liver cancer:3.62e-4 (unfavourable)",Expressed in all,Expressed in all,,,placenta: 29.0,Expressed in all,,
SPTLC3,"C20orf38, FLJ11112, hLCB2b, LCB2B, SPTLC2L",ENSG00000172296,Serine palmitoyltransferase long chain base subunit 3,20,13008979-13169103,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA044247, HPA048079",Enhanced,,Approved,Microtubules,"Renal cancer:4.51e-7 (favourable), Pancreatic cancer:6.02e-4 (unfavourable)",Expressed in all,Mixed,,,thyroid gland: 40.8,Cell line enhanced,,RPTEC TERT1: 33.2;U-87 MG: 56.0
SQLE,,ENSG00000104549,Squalene epoxidase,8,124998497-125022283,"Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA018038, HPA020762",Enhanced,,Uncertain,Vesicles<br>Cytosol,"Pancreatic cancer:2.73e-4 (unfavourable), Lung cancer:4.67e-4 (unfavourable), Renal cancer:5.70e-4 (unfavourable), Head and neck cancer:7.42e-4 (unfavourable)",Expressed in all,Mixed,,,testis: 107.8,Expressed in all,,
SRC,"ASV, c-src, SRC1",ENSG00000197122,"SRC proto-oncogene, non-receptor tyrosine kinase",20,37344685-37406050,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB004023, HPA030875",Approved,,Enhanced,Plasma membrane<br>Cytosol,"Liver cancer:4.90e-5 (unfavourable), Urothelial cancer:5.22e-5 (favourable), Renal cancer:1.22e-4 (unfavourable), Prostate cancer:1.63e-4 (unfavourable)",Expressed in all,Mixed,,,gallbladder: 43.6,Mixed,,
SRD5A1,,ENSG00000145545,Steroid 5 alpha-reductase 1,5,6633343-6674386,"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,HPA051402,Approved,,,,Endometrial cancer:8.73e-6 (unfavourable),Expressed in all,Mixed,,,skin: 16.8,Mixed,,
SRD5A2,,ENSG00000277893,Steroid 5 alpha-reductase 2,2,31522480-31581067,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Group enriched,Group enriched,11,epididymis: 27.9;fallopian tube: 31.6;liver: 30.6;prostate: 26.6;seminal vesicle: 24.5,testis: 2.5,Cell line enhanced,,RT4: 1.2
SRD5A3,"FLJ13352, SRD5A2L, SRD5A2L1",ENSG00000128039,Steroid 5 alpha-reductase 3,4,55346109-55373096,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,HPA027006,Uncertain,,Approved,Plasma membrane<br>Cytosol,"Renal cancer:4.85e-10 (unfavourable), Liver cancer:1.80e-6 (unfavourable), Endometrial cancer:9.39e-4 (favourable)",Expressed in all,Expressed in all,,,gallbladder: 28.2,Expressed in all,,
SRM,"SPS1, SRML1",ENSG00000116649,Spermidine synthase,1,11054584-11060024,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA015746,Approved,,Approved,Nucleoplasm<br>Cytosol,"Renal cancer:3.80e-8 (unfavourable), Liver cancer:2.25e-5 (unfavourable)",Expressed in all,Expressed in all,,,appendix: 73.5,Expressed in all,,
SRMS,"C20orf148, dJ697K14.1, PTK70, SRM",ENSG00000125508,Src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites,20,63540810-63547504,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB044668, CAB044669, HPA073987",Uncertain,,Approved,Intermediate filaments<br>Actin filaments<br>Cytosol,,Mixed,Mixed,,,stomach: 1.4,Cell line enhanced,,CAPAN-2: 2.9;MCF7: 2.2;RT4: 4.8
SRPK1,SFRSK1,ENSG00000096063,SRSF protein kinase 1,6,35832966-35921342,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA016431, HPA056486",Approved,,Supported,Nucleus<br>Plasma membrane<br>Cytosol,"Liver cancer:7.90e-6 (unfavourable), Pancreatic cancer:6.53e-5 (unfavourable)",Expressed in all,Expressed in all,,,testis: 81.0,Expressed in all,,
SRPK2,SFRSK2,ENSG00000135250,SRSF protein kinase 2,7,105110704-105399308,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA015522, HPA020876",Approved,,Supported,Nucleus<br>Cytosol,,Expressed in all,Expressed in all,,,testis: 197.4,Expressed in all,,
SRPK3,"MSSK1, STK23",ENSG00000184343,SRSF protein kinase 3,X,153776412-153785732,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,heart muscle: 28.7;skeletal muscle: 73.6,prostate: 10.9,Cell line enhanced,,RH-30: 45.4
SRR,"ILV1, ISO1",ENSG00000167720,Serine racemase,17,2303383-2325260,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA007529, CAB015343",Approved,,Approved,Vesicles,"Renal cancer:2.45e-6 (favourable), Endometrial cancer:6.20e-5 (favourable), Pancreatic cancer:8.16e-4 (favourable)",Expressed in all,Expressed in all,,,cerebral cortex: 25.5,Expressed in all,,
SRXN1,"C20orf139, dJ850E9.2, Npn3, SRX1, YKL086W",ENSG00000271303,Sulfiredoxin 1,20,646615-653370,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,Liver cancer:6.22e-5 (unfavourable),Mixed,Expressed in all,,,adrenal gland: 44.5,Mixed,,
SSH1,KIAA1298,ENSG00000084112,Slingshot protein phosphatase 1,12,108778192-108857590,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA019845,Uncertain,,Uncertain,Nucleoplasm<br>Plasma membrane<br>Cytosol,Liver cancer:5.80e-5 (unfavourable),Expressed in all,Mixed,,,parathyroid gland: 9.5,Expressed in all,,
SSH2,KIAA1725,ENSG00000141298,Slingshot protein phosphatase 2,17,29625938-29930276,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB017189, HPA057099",Uncertain,,,,,Expressed in all,Expressed in all,,,bone marrow: 35.7,Expressed in all,,
SSH3,"FLJ10928, FLJ20515",ENSG00000172830,Slingshot protein phosphatase 3,11,67303448-67312607,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA019949, HPA019957",Approved,,Approved,Nuclear speckles<br>Plasma membrane<br>Actin filaments<br>Cytosol,Pancreatic cancer:2.89e-4 (unfavourable),Expressed in all,Expressed in all,,,seminal vesicle: 37.5,Cell line enhanced,,RT4: 69.9
SSU72,HSPC182,ENSG00000160075,"SSU72 homolog, RNA polymerase II CTD phosphatase",1,1541673-1574869,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA069290, HPA070604",Enhanced,,Approved,Nucleoplasm<br>Cytosol,,Expressed in all,Expressed in all,,,thyroid gland: 149.3,Expressed in all,,
ST14,"HAI, MT-SP1, PRSS14, SNC19, TMPRSS14",ENSG00000149418,Suppression of tumorigenicity 14,11,130159562-130210376,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,HPA047014,,,Approved,Nucleoplasm<br>Vesicles,Renal cancer:5.03e-11 (favourable),Expressed in all,Mixed,,,small intestine: 149.0,Cell line enhanced,,CAPAN-2: 361.3;HaCaT: 255.1;RPMI-8226: 192.2;T-47d: 268.8
ST3GAL1,"SIAT4A, SIATFL, ST3GalA.1, ST3O",ENSG00000008513,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",8,133454848-133571940,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA040466,Approved,,,,,Expressed in all,Expressed in all,,,thyroid gland: 115.9,Cell line enhanced,,PC-3: 125.9;RT4: 84.6
ST3GAL2,"SIAT4B, ST3GalA.2, ST3GALII",ENSG00000157350,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2",16,70375978-70439237,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA017270,Approved,,Approved,Vesicles,"Renal cancer:3.34e-6 (unfavourable), Pancreatic cancer:2.33e-4 (favourable), Liver cancer:2.79e-4 (unfavourable)",Expressed in all,Mixed,,,appendix: 15.2,Mixed,,
ST3GAL3,"MRT12, SIAT6",ENSG00000126091,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",1,43705824-43931165,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA051102,Uncertain,,,,,Expressed in all,Expressed in all,,,skeletal muscle: 30.5,Mixed,,
ST3GAL5,"SIAT9, SIATGM3S, ST3GalV",ENSG00000115525,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5",2,85837120-85905199,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA034708, HPA040425, HPA068928",Uncertain,,Approved,Vesicles,"Renal cancer:2.25e-7 (unfavourable), Urothelial cancer:4.48e-4 (favourable), Thyroid cancer:4.99e-4 (favourable)",Expressed in all,Tissue enhanced,,thyroid gland: 44.7,cerebral cortex: 40.7,Cell line enhanced,,AN3-CA: 50.3;RT4: 37.4
ST6GAL1,SIAT1,ENSG00000073849,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",3,186930485-187078553,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB015018, CAB016122",Supported,,,,,Expressed in all,Expressed in all,,,liver: 270.5,Cell line enhanced,,U-266/70: 590.1;U-266/84: 742.8;U-698: 257.3
ST6GAL2,"KIAA1877, SIAT2, St6gal2, St6GalII",ENSG00000144057,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2",2,106801600-106887108,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA014459,Uncertain,,Approved,Nucleus<br>Nucleoli fibrillar center,,Tissue enriched,Tissue enhanced,,cerebral cortex: 22.1;thyroid gland: 47.9,testis: 9.8,Cell line enhanced,,A549: 4.8;PC-3: 5.5;RPMI-8226: 6.7;SCLC-21H: 7.2;U-138 MG: 7.4;U-266/70: 7.5
ST6GALNAC1,"SIAT7A, ST6GalNAcI",ENSG00000070526,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",17,76624761-76643838,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA014975,Uncertain,,,,Head and neck cancer:2.54e-5 (favourable),Mixed,Tissue enhanced,,colon: 162.6;rectum: 235.5,"cervix, uterine: 90.7",Cell line enhanced,,EFO-21: 9.1;HaCaT: 9.7;HEL: 16.1;K-562: 48.8
ST6GALNAC4,"SIAT3C, SIAT7D, ST6GALNACIV",ENSG00000136840,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",9,127907886-127917038,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA009042,,,Approved,Nucleus<br>Golgi apparatus,"Liver cancer:8.63e-7 (unfavourable), Ovarian cancer:5.12e-4 (unfavourable), Renal cancer:8.39e-4 (unfavourable)",Expressed in all,Mixed,,,bone marrow: 24.4,Cell line enhanced,,HDLM-2: 98.1;RPMI-8226: 103.5
ST8SIA1,"SIAT8, SIAT8A",ENSG00000111728,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",12,22063773-22437041,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA026775,Approved,,,,,Mixed,Mixed,,,cerebral cortex: 9.0,Cell line enhanced,,AF22: 6.4;SK-MEL-30: 4.8;WM-115: 6.4
STAMBP,AMSH,ENSG00000124356,STAM binding protein,2,73828916-73873659,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA035800, HPA035801",Uncertain,,Enhanced,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Endometrial cancer:4.70e-5 (unfavourable), Pancreatic cancer:5.79e-4 (unfavourable)",Expressed in all,Expressed in all,,,cerebral cortex: 39.1,Cell line enriched,11,LHCN-M2: 926.0
STAMBPL1,"ALMalpha, AMSH-FP, AMSH-LP, bA399O19.2, FLJ31524, KIAA1373",ENSG00000138134,STAM binding protein like 1,10,88879734-88975153,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA040202,Uncertain,,Approved,Plasma membrane,Renal cancer:1.08e-5 (unfavourable),Mixed,Mixed,,,"adrenal gland,testis: 29.7",Mixed,,
STK10,"LOK, PRO2729",ENSG00000072786,Serine/threonine kinase 10,5,172042073-172188386,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA015083, CAB020840",Enhanced,,,,"Renal cancer:1.63e-4 (unfavourable), Colorectal cancer:2.76e-4 (favourable)",Expressed in all,Expressed in all,,,spleen: 61.0,Expressed in all,,
STK11,"LKB1, PJS",ENSG00000118046,Serine/threonine kinase 11,19,1177558-1228435,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB016231, HPA017254, CAB022105, HPA067481",Approved,,Supported,Nucleoplasm<br>Cytosol,"Endometrial cancer:3.69e-5 (favourable), Head and neck cancer:1.96e-4 (favourable)",Expressed in all,Expressed in all,,,testis: 77.1,Mixed,,
STK16,"MPSK, PKL12",ENSG00000115661,Serine/threonine kinase 16,2,219245455-219250337,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA029450,Approved,,Approved,Cytosol,Endometrial cancer:6.09e-4 (favourable),Expressed in all,Expressed in all,,,"testis,thyroid gland: 28.6",Expressed in all,,
STK17A,DRAK1,ENSG00000164543,Serine/threonine kinase 17a,7,43582758-43626786,"Enzymes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"HPA018138, HPA037979",Uncertain,,Approved,Nuclear speckles<br>Plasma membrane,,Expressed in all,Expressed in all,,,lymph node: 49.2,Expressed in all,,
STK17B,DRAK2,ENSG00000081320,Serine/threonine kinase 17b,2,196133566-196176503,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA034858,Enhanced,,Uncertain,Plasma membrane<br>Cytosol,Renal cancer:5.72e-8 (unfavourable),Expressed in all,Tissue enhanced,,bone marrow: 248.5,lymph node: 133.3,Expressed in all,,
STK19,"D6S60, G11, RP1",ENSG00000204344,Serine/threonine kinase 19,6,31971091-31982821,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA031510, HPA031511, HPA068559",Uncertain,,Supported,Nuclear speckles,Melanoma:1.18e-4 (unfavourable),Expressed in all,Mixed,,,testis: 1.2,Cell line enhanced,,HDLM-2: 1.9;REH: 1.7
STK24,"MST-3, MST3, MST3B, STE20, STK3",ENSG00000102572,Serine/threonine kinase 24,13,98445185-98577940,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA026435, HPA026502",Enhanced,,Supported,Nucleoli<br>Cytosol,"Lung cancer:6.23e-6 (unfavourable), Renal cancer:6.91e-5 (favourable), Pancreatic cancer:5.81e-4 (unfavourable)",Expressed in all,Expressed in all,,,esophagus: 169.5,Expressed in all,,
STK25,"SOK1, YSK1",ENSG00000115694,Serine/threonine kinase 25,2,241492674-241509730,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA047147,Uncertain,,,,"Liver cancer:3.91e-8 (unfavourable), Colorectal cancer:6.03e-4 (unfavourable)",Expressed in all,Expressed in all,,,skeletal muscle: 168.2,Expressed in all,,
STK26,"MASK, MST4",ENSG00000134602,Serine/threonine kinase 26,X,132023265-132075943,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA059921,Approved,,Approved,Nucleus<br>Golgi apparatus<br>Centrosome<br>Cytosol,"Renal cancer:6.87e-5 (unfavourable), Liver cancer:6.82e-4 (unfavourable)",Expressed in all,Mixed,,,epididymis: 68.5,Mixed,,
